,0,1
0,id,276325799
1,sendTime,2021-04-28T14:22:52Z
2,sendTimePersian,1400/02/08 18:52
3,senderName,moheb
4,senderUsername,j_mohebi
5,senderProfileImage,a8a63a07-e6d3-4175-9456-4f92a0422d54
6,content,#شپنا به نظر حمایت محکم شپنا همین محدوده ۱۰۰۰ باشه با توجه به صحبت های مسئولان که برنامه ای  برای حمایت از صندوق پالایش  دارن شپنا هم باید به موازات رشد کنه، سری قبل تو کف قیمتی ۸۵۰ بحث حمایت از صندوق پالایش شد و کسانی که ورود کردن به شپنا یه سود ۵۰ درصدی شیرین گرفتن و تا ۱۲۵۰ بالا رفت، حالا هم با توجه به انتخابات و صحبت های حمایت از بازار  احتمال بالا رفتن قیمت شپنا زیاد هست، حداقل چیزی که میشه گفت اینه که ریسک خرید تو این قیمت خیلی کم هست
7,type,twit
8,scoredPostDate,1619619800340
9,finalPullDatePersian,
