,0,1
0,id,276325705
1,sendTime,2021-04-28T14:21:35Z
2,sendTimePersian,1400/02/08 18:51
3,senderName,محمد
4,senderUsername,mohammad777777
5,senderProfileImage,69495536-c540-4ca1-8a2c-a4ee65503dbc
6,content,"#شاخص_بورس 

🏛یک شاعر آفریقایی می گوید :


هنگامی که سفیدپوستان به سرزمین ما آمدند، ما مزرعه ومعدن داشتیم و آنان «کتاب مقدس» را در دست داشتند.
آنان به ما آموختندکه چشمان مان راببندیم و دعاکنیم! وقتی چشم گشودیم، «کتاب مقدس» دردستان مابود! اما آنان مالک مزرعه ومعدن مابودند!"
7,type,twit
8,scoredPostDate,1619619716163
9,finalPullDatePersian,
